algo,run,env_step,explained_variance,mean_episode_reward,steps_per_sec,entropy,ghi_chu
PPO,ppo_v2,111616,0.9231243709906602,2551.944180774696,15.352599642606632,-1.6933263540267944,"reward raw, penalty 1000"
PPO,ppo_v2,112640,0.9300339472311158,2466.3438668476915,11.917605052483687,-1.6937059476971625,"reward raw, penalty 1000"
PPO,ppo_v2,113664,0.9071626699621829,3115.0055537675653,12.043842534132152,-1.6943778112530707,"reward raw, penalty 1000"
PPO,ppo_v2,114688,0.9625681493976721,3542.4133002430913,12.038060427061392,-1.6952142417430878,"reward raw, penalty 1000"
PPO,ppo_v2,115712,0.9554937911592445,3280.7974734894256,11.8193374617323,-1.695483995974064,"reward raw, penalty 1000"
PPO,ppo_v2,116736,0.8567634067401204,3919.5541421871544,11.962059001028452,-1.695570008456707,"reward raw, penalty 1000"
PPO,ppo_v2,117760,0.6397762196047351,4519.845404677087,11.908244555261678,-1.6959157943725587,"reward raw, penalty 1000"
PPO,ppo_v2,118784,0.8410483123720613,4530.930073403556,11.855651957630508,-1.695806822180748,"reward raw, penalty 1000"
PPO,ppo_v2,119808,0.9339868923754413,4532.242269223997,11.945169912074453,-1.6952684596180916,"reward raw, penalty 1000"
PPO,ppo_v2,120832,0.9037342141070578,4819.1084604804,12.078775533449825,-1.6952659398317338,"reward raw, penalty 1000"
PPO,ppo_v2,121856,0.7577149264650275,4685.983219339622,12.058171059061815,-1.695685948431492,"reward raw, penalty 1000"
PPO,ppo_v2,122880,0.9377236349947403,4467.4153486302675,12.025318654261794,-1.6959189161658288,"reward raw, penalty 1000"
PPO,ppo_v2,123904,0.7598943824210115,4676.687953043756,12.01619589627083,-1.6970912218093872,"reward raw, penalty 1000"
PPO,ppo_v2,124928,0.9051431316054722,4714.475871417288,11.849627310657329,-1.6978604942560196,"reward raw, penalty 1000"
PPO,ppo_v2,125952,0.8745816580428512,4955.763524828284,11.916784441185705,-1.6989264518022538,"reward raw, penalty 1000"
PPO,ppo_v2,126976,0.6139646041715635,5424.925101493338,11.907144832559762,-1.6996534168720245,"reward raw, penalty 1000"
PPO,ppo_v2,128000,0.8992628102682512,5046.429099349173,11.883794738435409,-1.6998926728963852,"reward raw, penalty 1000"
PPO,ppo_v2,129024,0.8069830565247069,5413.412802653055,11.972474127411845,-1.7003119215369225,"reward raw, penalty 1000"
PPO,ppo_v2,130048,0.6436449576220853,5702.728808091624,11.608710970594876,-1.7007060676813126,"reward raw, penalty 1000"
PPO,ppo_v2,131072,0.48568909553116124,5644.363824851576,11.914022598751169,-1.701377446949482,"reward raw, penalty 1000"
PPO,ppo_v2,132096,0.6022837612400498,5597.590535770292,11.942492658939743,-1.7012531176209449,"reward raw, penalty 1000"
PPO,ppo_v2,133120,0.9032067508672845,5677.427319485029,12.04245131276266,-1.702280303835869,"reward raw, penalty 1000"
PPO,ppo_v2,134144,0.7807691029465457,6114.557782458302,11.879891222185519,-1.703252339363098,"reward raw, penalty 1000"
PPO,ppo_v2,135168,0.6735871030678034,5306.935246597071,11.941971729692693,-1.704001073539257,"reward raw, penalty 1000"
PPO,ppo_v2,136192,0.9376320744880932,5352.758223282668,12.064008154174356,-1.7047276243567466,"reward raw, penalty 1000"
PPO,ppo_v2,137216,0.8048309694545938,4786.361104375204,11.838784245122552,-1.7048224076628684,"reward raw, penalty 1000"
PPO,ppo_v2,138240,0.80771018657369,4745.970372931235,11.920612291939012,-1.7049940630793572,"reward raw, penalty 1000"
PPO,ppo_v2,139264,0.8941608546753113,4132.766071737614,11.917842524093844,-1.7051091507077216,"reward raw, penalty 1000"
PPO,ppo_v2,140288,0.9589884636103808,3432.099037050374,11.806055417837198,-1.7051775261759758,"reward raw, penalty 1000"
