algo,run,env_step,town,terminate_reason,episode_len,episode_reward,mean_abs_lane_offset_road,junction_steps,ghi_chu
PPO,ppo_v1,53248,,time_limit,500,3395.7745416668813,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,53248,,collision,484,5066.824613985125,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,53248,,collision,202,825.6091094666805,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,54272,,time_limit,500,3682.2072475227583,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,54272,,collision,45,-103.02002842603494,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,54272,,time_limit,500,6182.024159749458,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,55296,,time_limit,500,5495.255835094266,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,55296,,time_limit,500,5957.663763174722,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,56320,,time_limit,500,3791.5025565911014,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,56320,,time_limit,500,7051.859208817694,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,56320,,collision,52,-117.61617402714913,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,57344,,collision,365,2992.515565230826,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,57344,,collision,170,652.5099540840915,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,57344,,collision,272,680.1779764967577,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,58368,,time_limit,500,6212.561380682246,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,58368,,time_limit,500,5809.305687358339,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,59392,,time_limit,500,6335.816186225204,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,59392,,time_limit,500,6725.238042477703,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,59392,,collision,53,-40.133998487929375,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,59392,,collision,46,-87.0744986754346,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,60416,,time_limit,500,5571.912102582563,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,60416,,time_limit,500,6692.087600793865,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,61440,,time_limit,500,6386.127371768487,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,61440,,collision,40,-131.9506995294957,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,61440,,time_limit,500,3866.8120672618065,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,62464,,collision,261,2511.2889406282216,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,62464,,time_limit,500,6712.358858421525,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,63488,,time_limit,500,3382.5075086226043,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,63488,,collision,323,3433.0799159929134,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,63488,,collision,80,131.68676696508783,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,63488,,time_limit,500,6372.18878684032,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,64512,,collision,495,5337.477763891827,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,64512,,time_limit,500,6271.3993228297195,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,65536,,time_limit,500,6082.033401227393,,,"reward raw, penalty 300, chi Town04"
